Coin,Date,Min,Max,Average,StandardDeviation
etc,2019-12-16,3.26,3.45,3.3934533898305004,0.0527881714764879
etc,2019-12-17,3.08,3.32,3.251019522776559,0.0733490869469735
etc,2019-12-18,3.05,3.41,3.190153846153839,0.08043411378905922
etc,2019-12-19,3.28,3.42,3.347158351409964,0.029777826642287283
etc,2019-12-20,3.32,3.73,3.4802826086956573,0.1356422986232661
etc,2019-12-21,3.61,3.75,3.6759012875536663,0.02851366133035863
etc,2019-12-22,3.66,3.82,3.760341880341862,0.03893192884566294
etc,2019-12-23,3.57,3.81,3.74324786324786,0.057928323819720275
etc,2019-12-24,3.51,3.61,3.569434389140265,0.024539127371163243
etc,2019-12-25,3.53,3.66,3.599352051835834,0.03086953020954485
etc,2019-12-26,3.63,4.17,3.795526881720434,0.18068029100303815
etc,2019-12-27,3.94,4.16,4.015671641791052,0.05483282273915408
etc,2019-12-28,3.94,4.06,3.9973987206823094,0.02386111373964812
etc,2019-12-29,3.93,4.21,4.050759493670911,0.09337016959504744
etc,2019-12-30,4.06,4.26,4.134394904458582,0.03535091141600267
etc,2019-12-31,3.96,4.2,4.093101265822767,0.06302067739233243
etc,2020-01-01,3.99,4.08,4.036694736842082,0.017272475021021933
etc,2020-01-02,3.75,4.02,3.9121518987341797,0.06890348327148285
etc,2020-01-03,3.75,4.13,3.944914529914521,0.10305894692368206
etc,2020-01-04,4.06,4.22,4.139851063829797,0.03913668286501566
etc,2020-01-05,4.15,4.46,4.3638805970149495,0.06090534642107719
etc,2020-01-06,4.35,4.57,4.456666666666682,0.0701104015791241
etc,2020-01-07,4.24,4.52,4.360384615384599,0.05654834497020469
etc,2020-01-08,4.29,4.51,4.3888699360341255,0.04058477310902953
etc,2020-01-09,4.41,4.65,4.52379014989294,0.04986472996856933
etc,2020-01-10,4.45,4.73,4.603715498938434,0.0653489388971581
etc,2020-01-11,4.66,5.19,5.012788259958069,0.09929512175273837
etc,2020-01-12,4.84,5.11,4.9584663865546315,0.06150391908987181
