,City,State,Country,Update,Latitude,Longitude,Confirmed,Deaths,Recovered
274,,,US,2020-02-01 19:43:03,,,2.0,0.0,0.0
275,,,US,2020-02-03 03:53:02,,,2.0,0.0,0.0
276,,,US,2020-02-03 00:43:02,,,2.0,0.0,0.0
277,,,Belgium,2020-02-04 15:43:02,,,1.0,0.0,0.0
278,,,Cambodia,2020-01-31 08:15:53,,,1.0,0.0,0.0
279,,,Canada,2020-02-01 18:12:49,,,1.0,0.0,0.0
280,,,Canada,2020-02-04 00:03:11,,,1.0,0.0,0.0
281,,,Finland,2020-01-31 08:15:53,,,1.0,0.0,0.0
282,,,Mainland China,2020-02-01 01:52:40,,,1.0,0.0,0.0
283,,,Nepal,2020-01-31 08:15:53,,,1.0,0.0,0.0
284,,,Spain,2020-02-01 23:43:02,,,1.0,0.0,0.0
285,,,Sri Lanka,2020-01-31 08:15:53,,,1.0,0.0,0.0
286,,,Sweden,2020-02-01 02:13:26,,,1.0,0.0,0.0
287,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
288,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
289,,,US,2020-02-01 19:53:03,,,1.0,0.0,0.0
290,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
291,,,US,2020-02-01 19:43:03,,,1.0,0.0,0.0
292,,,Mainland China,2020-02-15 23:13:05,,,56249.0,1596.0,5623.0
293,,,Mainland China,2020-02-15 14:03:04,,,1294.0,2.0,410.0
294,,,Mainland China,2020-02-15 12:13:08,,,1212.0,13.0,391.0
295,,,Mainland China,2020-02-15 11:23:17,,,1162.0,0.0,428.0
296,,,Mainland China,2020-02-15 13:03:04,,,1001.0,2.0,425.0
297,,,Mainland China,2020-02-15 12:13:08,,,950.0,6.0,221.0
298,,,Mainland China,2020-02-15 01:33:02,,,913.0,1.0,210.0
299,,,Mainland China,2020-02-15 12:13:08,,,604.0,0.0,186.0
300,,,Mainland China,2020-02-15 23:23:07,,,544.0,5.0,184.0
301,,,Mainland China,2020-02-15 11:23:17,,,532.0,2.0,156.0
302,,,Mainland China,2020-02-15 08:43:03,,,470.0,1.0,119.0
303,,,Mainland China,2020-02-15 11:43:01,,,425.0,11.0,68.0
304,,,Mainland China,2020-02-15 09:53:01,,,375.0,4.0,98.0
305,,,Mainland China,2020-02-15 03:13:06,,,326.0,1.0,124.0
306,,,Mainland China,2020-02-15 13:03:04,,,291.0,3.0,101.0
307,,,Mainland China,2020-02-15 13:03:04,,,285.0,0.0,71.0
308,,,Others,2020-02-15 17:03:04,,,285.0,0.0,0.0
309,,,Mainland China,2020-02-15 06:33:01,,,235.0,2.0,44.0
310,,,Mainland China,2020-02-15 12:13:08,,,232.0,0.0,60.0
311,,,Mainland China,2020-02-15 06:33:01,,,168.0,0.0,42.0
